Groundwater Sustainability Plan,Allocations,Allocation Base,Allocation Description,Trading,Trading Description,Taxes/Fees,Tax Base,Rate Structure,Taxes Description,Pumping Restrictions,Restriction Description,Restriction Description (Just Page Number),Efficiency Incentives,Incentive Page Number,Incentive Description,Other,Notes,Status,Last updated,GSP_ID
Groundwater Sustainability Plan for Pleasant Valley Basin,Y,Historic Pumping,FCGMA Board Meeting Minutes Oct 12 2018: groundwater allocation split between Municipal and Industrial (M&I) and Agriculture (Ag) users aims at 40&/60%. Allocations are based on Historic extraction/pumping and would be adjusted every five years based on Santa Clara River water deliveries.   ,M,p 357: a water market is currently being developed for the Oxnard Subbasin and may be expanded into the Pleasant Valley Basin (PVB) by providing an alternative method for landowners to monetize pumping allocations.,Y,Extraction,Tiered,p 360: The Reduction in Groundwater Production management action (no. 1) will utilize pumping fees imposed by FCGMA.,N,NA,NA,Y,356,"p.356 The Temporary Agricultural Land Fallowing Project would use replenishment fees to lease and temporarily fallow agricultural land (FCGMA 2018). This would result in decreased groundwater production on the parcels or ranches that are fallowed, and an overall reduction in groundwater demand in the PVB",,Allocation already implemented by ordinance in 2019; fees already allowed by state legislature since the 80s; market currently being tested in Oxnard may be expanded to Pleasant Valley,Approved,02/24/2023,17
Groundwater Sustainability Plan for Las Posas Valley Subbasin,Y,Historic Pumping,,N,NA,Y,Extraction,Tiered,,N,NA,NA,N,NA,NA,,,Approved,02/24/2023,18
Mound Basin Groundwater Sustainability Plan,N,NA,,N,,N,NA,NA,,N,NA,NA,N,NA,NA,,,Review in progress,04/18/2023,19
Groundwater Sustainability Plan for County of Fresno,N,NA,,N,,Y,Extraction,NA,,M,"p.212 In the event of extremely dry conditions and groundwater extractions that exceed sustainable levels, FCMA will work to develop targeted pumping reductions to reduce undesirable results. The implementation of targeted pumping reductions will only apply as a result of undesirable results for groundwater levels, groundwater storage, and subsidence for all of FCMA. In the event of undesirable results, FCMA will work with local stakeholders and landowners to develop targeted pumping reductions for the year following the occurrence of undesirable results. ",212,N,NA,NA,,,Inadequate,,20
Groundwater Sustainability Plan for Madera - Joint,Y,Historic Pumping,,Y,,Y,NA,NA,,Y,"Groundwater pumping will be reduced by 6% per year starting in 2026 and continuing through 2040. Figure 4-4
illustrates the annual reduction in pumping by year between 2020 and 2040. The annual reduction in
pumping in Madera County will equal 90,000 acre-feet by 2040. The second axis on the right shows the
corresponding reduction in crop ETaw, consumptive use, under the demand management program. Crop
ETaw will be reduced to about 64% of the current ETaw in the Madera County area by 2040. ",. ,Y,328,"p.328 • MID Pipeline Project. Rehabilitate aging pipelines to reduce losses.
• WaterSMART Pipeline Project. Rehabilitate additional pipelines to reduce losses and allow MID
to deliver water later in the irrigation season.
• WaterSMART SCADA Project. Improve MID water management, reduce losses, and allow MID to deliver water later in the irrigation season.
• Water Supply Partnerships Project. MID will identify and purchase or exchange additional water
supplies from partnering districts.
• Increase MID grower utilization of surface water supplies. MID will explore incentives to
encourage more MID growers to take district surface water and reduce groundwater pumping
Based on an analysis of MID operations and project implementation developed by MID, the average
annual gross benefit of each operation and incentive project is as follows:
• MID Pipeline. 420 acre-feet.
• WaterSMART Pipeline. 875 acre-feet.
• WaterSMART SCADA. 1,225 acre-feet.
• Supply Partnerships. 3,990 acre-feet (1,995 acre-feet by 2020 and another 1,995 by 2025).
• Incentive Programs. 5,005 acre-feet.",Easements. Madera County would identify potential easement programs and other sources of funding to incentivize fallowing of irrigated lands.,,Incomplete,,21
Groundwater Sustainability Plan for Central Kings,N,NA,,N,,M,Extraction,NA,,N,NA,NA,N,NA,NA,p.59 groundwater banking plan. baking operations currently exist within the CKGSA for recharge and storage for later recovery and approx 10% of recharged  water is left in the aquifer to account for losses. The CID have recently completed the South and Highland groundwater baking facility. this program includes facilities to intentionally recharge (bank) flood and other surface water for subsequent recovery for CID,"p.314 Their only management stategy is recharge. They listed a very basic table of several managment stategies that they could potenitally initiate if the recharge is insufficient to meet their sustainability goals. But, they do not anticpate needing any further management strategy.
p.59 groundwater banking- banking operations currently exist for recharge or storage for later recovery",Incomplete,,22
Groundwater Sustainability Plan for Kings River East,N,NA,,N,,Y,Extraction,NA,,N,NA,NA,N,NA,NA,NA,,Incomplete,,23
Groundwater Sustainability Plan for North Kings,M,Acreage,,N,,M,NA,NA,,M,"The GSA may consider a groundwater pumping restrictions management action encompassing policies related to the prohibition of new groundwater exports requiring new developments to prove systaunable water supply, pumping restictions during droughts, and moratorium on new production wells",,N,NA,NA,"p.463 There is potential to recharge water on lands outside of AWD if suitable recharge pond locations cannot be found or acquired within the District. The District is open to partnering with other agencies in the Delta-Mendota, Madera, and Chowchilla Subbasins to establish a regional groundwater banking program. ",,Incomplete,,24
Groundwater Sustainability Plan for North Fork Kings,M,NA,,M,,M,Acreage,Tiered,,M,"p.433 The GSA may consider a groundwater pumping restrictions management action encompassing policies related to the prohibition of new groundwater exports requiring new developments to prove systaunable water supply, pumping restictions during droughts, and moratorium on new production wells",433,M,430-432,"p.430-432 including but not limited to:
incentivize canal or basin infrastructure,  incentice to change crop type to one with lower water demand, incentive to rotate crop and temporarily fallow land, BMPs such as high efficiency irrigation methods,","p.423 may consider a study of water marketing strategies in an effort to acquire more surface water. may focus on the development of a groundwater baking/trading program. p.424 may adopt a policy to define a groundwater banking program.
p.383 groundwater banking program may be  taken into consideration in the landowner recharge basin project""",,Incomplete,,25
Groundwater Sustainability Plan for South Kings,N,NA,,N,,M,Extraction,NA,,M,"p.286 The GSA may consider a groundwater pumping restrictions management action encompassing policies related to the prohibition of new groundwater exports requiring new developments to prove systaunable water supply, pumping restictions during droughts, and moratorium on new production wells. ",286,N,NA,NA,"
p. 234 groundwater banking listed as a supply side strategy","p.234 includes a long list of every potential project imaginable, but most do not seem to be under any real consideration whatsoever; these are not included",Incomplete,,26
Groundwater Sustainability Plan for McMullin Area,M,Acreage,,M,,M,Extraction,NA,,M,"p.480  The GSA may consider a groundwater pumping restrictions management action encompassing policies related to the prohibition of new groundwater exports requiring new developments to prove systaunable water supply, pumping restictions during droughts, and moratorium on new production wells. ",480,M,477-478,"p.477-478  crop conversion, rotate crops and temporarily fallow portions of their irrigated agriculture, BMPs such as soil moisture sensors,  and high efficiency irrigation methods","p.385 Southwest Groundwater Banking Project: There is potential to recharge water on lands outside of AWD if suitable recharge pond locations cannot be found or acquired within the District. The District is open to partnering with other agencies in the Delta-Mendota, Madera, and Chowchilla Subbasins to establish a regional groundwater banking program. There is potential to recharge water on lands outside of AWD if suitable recharge pond locations cannot be found or acquired within the District. The District is open to partnering with other agencies in the Delta-Mendota, Madera, and Chowchilla Subbasins to establish a regional groundwater banking program.  p.472 May consider a study of water marketing strategies focused on development of groundwater banking/trading programs and coordination with other  agencies that could potentially create a water market. May adopt a policy to define a groundwater banking program.
",,Incomplete,,28
Groundwater Sustainability Plan for 180/400 Foot Aquifer Subbasin,Y,Multiple,"TBD - can be a combination of acreage, Historic crop types, Historic pumping or other factors  (p 324)",M,p 327: Pumping allowances could also be permanently or temporarily transferred between owners and could be used for another pumping purpose. p 328: Non-exempt pumpers who do not receive an initial pumping allowance may aquire pumping allowance from willing sellers subject to SVBGSA approval.,Y,Extraction,Tiered,p 322: Groundwater pumped within the sustainable pumping allowance is charged a base rate called Tier 1 - Sustainable Pumping Charge. Groundwater pumped in excess of the sustainable pumping allowance but within their transitional allowance is charged a rate called Tier 2 - Transitional Pumping Charge. Any groundwater pumped above the transitional pumping allowance is subject to Tier 3 - Supplementary Pumping Charge.  ,Y,"p.336 To promote use of CSIP water, the SVBGSA will pass an ordinance preventing any pumping for irrigating agricultural lands served by CSIP. CSIP pumping restrictions will only be implemented after the CSIP optimization projects are implemented, providing a reliable supply of water to growers in the CSIP area. ",336,Y,?,"Hydraulic Modelling, Irrigation/Scheduling System Development, Piping Upgrades. Existing water conservation measures should be continued, and new water conservation measures promoted for residential users. Conservation measures may include the use of low flow toilet fixtures, or laundry-to-landscape greywater reuse systems.","p.330 The SVBGSA would cease irrigation on acquired land to reduce pumping. The SVBGSA will coordinate with other local agencies and stakeholders to determine beneficial uses of the acquired land, such as establishing native vegetation or converting to other habitat",p 321: The Water Charges Framework includes working toward every pumper adhering to their sustainable pumping allowance by gradually reducing transitional pumping allowances (the difference between current and sustainable pumping) over a 10-15 year transition period. Pumping is recorded anually for all non-exempt pumpers. The allowances and tiered fee structure will not be uniform across the subbasins of the Salinas Valley Groundwater Basin. p 327: An unused portion of a pumping allowance may be carried over for use in subsequent years.,Approved,02/21/2023,29
Groundwater Sustainability Plan for Greater Kaweah ,M,Acreage,,M,,M,NA,NA,,N,NA,NA,N,NA,NA,"potential groundwater market, didn't seem to be the same as trading. The GKGSA will consider the feasibility and acceptance of a voluntary marketing program.  he program would consist of temporary or permanent transfers of groundwater extraction allotments for immediate use or for banking arrangements, as well as carry-over of unused allotments, all consistent with the provisions of SGMA §10726.4. They must also incentivize additional investment, such as on-farm recharge by providing pumping credits and allow flexibility for recharged or banked water to be freely transferrable subject to the rights and conditions of use associated with the source water and the avoidance of undesirable results.",,Inadequate,,30
Groundwater Sustainability Plan for James,N,NA,,N,,M,NA,Tiered,,N,NA,NA,M,321,p.321 management actions consists of implementations of measures identified in water management plans prepared by municipal and irrigation water supplies. Expected to promote irrigation efficiencies and water utilization by irrigation users with James IID,,,Incomplete,,31
Groundwater Sustainability Plan for Cuyama Basin ,Y,NA,,N,,M,Multiple,NA,,N,NA,NA,N,NA,NA,NA,possible groundwater banking. Policy WR 2.5: Groundwater Banking Programs. Encourage groundwater-banking programs,Incomplete,,32
Groundwater Sustainability Plan for Paso Robles Subbasin,N,NA,,N,,Y,Extraction,NA,,Y,"The amount of mandatory pumping limitations is uncertain and will depend on the effectiveness and timeliness of voluntary actions by pumpers and the success of other measures outlined in the GSP.  The water budget presented in Chapter 6 suggests that an estimated shortfall of 13,700 AFY will need to be addressed by a combination of increased water supply, conservation and reduction in pumping in order to achieve sustainability. p.272",272,Y,"266, 270, 303","BMPs listed on p.266
p.270 GSAs to promote voluntary fallowing of crop land to reduce overall groundwater demand. The primary benefit of voluntary fallowing would be mitigating the decline of groundwater elevations by reducing pumping  
p..303 Existing water conservation measures should be continued, and new water conservation measures promoted for residential users. Conservation measures may include the use of low flow toilet fixtures, or laundry-to-landscape greywater reuse systems. Conservation projects can reduce demand for groundwater pumping, thereby acting as in-lieu recharge. ",,,Incomplete,,35
Groundwater Sustainability Plan for Kern Groundwater Authority ,Y,Acreage,,M , - Kern Tulare Water District,M,Acreage,Tiered,Tiered for Semitropic Water Storage District p.251,M,"In the event that the districts or the entire subbasin are nearing a condition where they are at risk of triggering an Undesirable Result, even with the implementation of the projects and management actions described in this Plan, it may be necessary for the districts to limit groundwater pumping. p.245",245,M,"238, 239, 253, 250, 249, 245  ","The District would provide subsidies to incentivize groundwater users to convert land to alternative land uses (e.g. solar farms) and reduce groundwater extractions. The District may consider a subsidy structure study to determine which subsidies would result in the greatest expected annual benefit in acre-feet per year. p.238
The Cawelo GSA will evaluate potential programs to incentivize growers to convert from relatively high water demand crops to crops that require less water and to improve the efficiency of irrigation practices. p.239
The member growers in the Westside District Water Authority have Historicly made significant investment in efficient irrigation technologies and methods that promote water conservation and sustainable management p.253
The NRCS is offering landowner incentive programs to assist in implementing various conservation activities, including but not limited to: irrigation system improvements, water/nutrient/pest management, and pump engine replacement p.250
As an agricultural water service provider, SSJMUD complies with all provisions of SB 7 (amending Division 6, Part 2.55 of the Water Code) passed into law in November 2009 regarding agricultural water conservation and management. p.249 
The conversion of land use from agricultural to urban use generally leads to an overall reduction in groundwater use due to the decreased demand, in terms of volume per unit area.  p.245
Based on that legislation, indoor residential use is to be capped at 55 gpcd in 2019 and ramp down to 50 gpcd by 2030, and outdoor residential use is to be capped in the future based on local climate and size of landscaped areas p.245


",The majority of the KGA member agencies partake in groundwater banking and recharge programs. The purpose of these programs is to bring surface water into the Subbasin to recharge groundwater levels and better prepare for and manage water during times of dry periods or in wet periods where water is of excess. Groundwater banking programs store water in the Kern County Subbasin for use by local agencies and for export to out-of-basin entities. ,,Inadequate,,36
Groundwater Sustainability Plan for Henry Miller Water District,N,NA,,N,,N,NA,NA,,N,NA,NA,N,NA,NA,"groundwater banking. The general operation of groundwater banking facilities is to recharge excess available surface water
supplies during wet years by recharging to the groundwater and recovering this water by pumping in dry
years when surface water supplies are limited. Groundwater banking programs store water in the Kern
County Subbasin for use by local agencies and for export to out-of-basin entities. ",,Inadequate,,37
Groundwater Sustainability Plan for Grassland,N,NA,,N,,M,Extraction,NA,,N,NA,NA,N,NA,NA,p.224 The GSAs may adopt a policy to require new developments (non-de minimis extractors) to prove their usage of sustainable water supplies based upon current Sustainable Management Criteria.  The GSAs may adopt a policy to require registration of groundwater extraction facilities within the Plan Area,,Inadequate,,38
Groundwater Sustainability Plan for Tulare Lake,M,NA,,M,,M,NA,Flat,"p.240 South Fork Kings GSA. Either no fee, a per-well charge, a flat structure on reported pumping or a tiered structure based on volume and timing of pumping",M,"p.249 Gives potential effects of restriction of pumping but not causes Example: instutitional restriction on groundwtaer extraction are likely to alter the mix of crops grown

p. 235 MKR GSA may implement pumping restriction as a backstop (e.g. forced fallowing without compensation)","249, 235",Y,241,p.241 seasonal cropping and dryland farming program would establish incentives for landowners who have non orchid lands that could be fallowed or planted with less water intensive crops during dry or drought years,"**not sure how relevant this all is, they list demand reduction that would result from their supply management actions. 

p. 214 The conversion of land use from agricultural to urban use generally leads to an overall reduction in groundwater use due to the decreased demand, in terms of volume per unit area

p.217 The conversion of land use from agricultural to urban use generally leads to an overall reduction in groundwater use due to the decreased demand, in terms of volume per unit area

p.219  The conversion of land use from agricultural to urban use generally leads to an overall reduction in groundwater use due to the decreased demand, in terms of volume per unit area. The conversion of land use from agricultural to urban use generally leads to an overall reduction in groundwater use due to the decreased demand, in terms of volume per unit area

p.70 ? recharge basin in Kings County which is a groundwater  bank",,Inadequate,,42
Groundwater Sustainability Plan for Eastern Tule,Y,NA,,N,,M,Extraction,NA,,N,NA,NA,N,NA,NA,Kern County Subbasin Olcese GSP,,Inadequate,,43
Kern County Subbasin Olcese GSP,NA,NA,,NA,,NA,NA,,,NA,,,NA,,,,,Inadequate,,44
Groundwater Sustainability Plan for Madera - Root Creek Water District,N,NA,,N,,Y,NA,NA,,N,NA,NA,N,NA,NA,,,Incomplete,,45
Groundwater Sustainability Plan for Eastern San Joaquin Subbasin,N,NA,,N,,M,NA,NA,,N,NA,NA,Y,"331, 334, 335","SSJID currently operates a 3,800-acre pilot pressurized irrigation project within its service area. This project provides irrigation water at pressure to a grower’s turnout with nearly on-demand service. The service has promoted and influenced the adoption of high-efficiency irrigation systems p.331

p.334-335 includes several different strategies","p.334-335

p.303, p.320.  South System Groundwater Banking with EBMUD In-lieu Recharge North San Joaquin Water Conservation District. The PDA Agreement includes a
commitment to undertake a pilot-level groundwater banking project and a longer-term groundwater banking project. ",,Incomplete,,47
Groundwater Sustainability Plan for Alpaugh,N,NA,,N,,M,NA,NA,,N,NA,NA,M,,AID may explore a future incentive program to encourage cropping pattern or irrigation system changes.,,,Inadequate,,48
Groundwater Sustainability Plan for Madera - New Stone Water District,M,Acreage,,M,,M,Extraction,Tiered,,N,NA,NA,M,149,"p.149  Doesn't list specific agendas to implement irrigation efficiencies other than describing irrigation efficiences and stating that Increasing the overall district irrigation efficiency by capturing and reusing any water leaving the GSA could promote basin sustainability. Recaptured water can be used for artifical groundwater recharge or be directly used for irrigation to reduce the amount of required groundwater pumping. p.150 Subsidies for Surface Water Use, Groundwater Conservation Improvements, & Crop Conversions Subsidies for surface water use, groundwater conservation improvements, and crop conversions to lower water-demand crops may be implemented by the GSA as incentives to help alleviate current overdraft conditions.
Irrigating with surface water in-lieu of groundwater pumping may increase groundwater storage or reduce the groundwater extraction rate. Subsidies could be awarded to users who utilize surface water as incentive to reduce groundwater extractions for irrigation.
Subsidies could also be awarded to users who engage in groundwater conservation improvements, such as implementing on-farm best management practices (BMPs). These practices can include installing soil moisture sensors, utilizing high-efficiency irrigation methods, and metering to apply precise irrigation amounts. Increasing groundwater conservation practices can promote aquifer sustainability by decreasing extractions and overdraft.
Replacing existing crops with lower-demand crops could increase basin sustainability and reduce groundwater overdraft through a reduction in extractions for irrigation. Growers may be incentivized through subsidies for crop conversions","Fallowing Rotation

The GSA may adopt a policy to define a groundwater banking program. The GSA must acknowledge and discuss any other existing water bank/credit systems. The GSA must approve of all replenishment projects and determine the timeframe for any banking efforts prior to banking program adoption. The GSA may consider adjusting banked credits if groundwater allocations require adjustment of safe yield. The GSA may define a “leave-behind” amount for groundwater migration and operational and evaporative losses, as well as to buffer against impacts to neighboring wells. The GSA may consider finite timelines for banked water or ongoing “leave-behind” amounts.",,Incomplete,,49
Groundwater Sustainability Plan for Mid-Kaweah,M,NA,,M,,M,NA,NA,,N,NA,NA,N,NA,NA,,,Inadequate,,50
Groundwater Sustainability Plan for Buena Vista Water Storage District ,N,NA,,N,,Y,NA,Tiered,,M,"Should groundwater levels drop below the minimum threshold at any well in this network, and it can be determined that the decline can be attributed to extraction occurring within the BVGSA, the GSA will curtail pumping through the following series of steps p.254",254,Y,"241, 242, 245, 252","
Provide water users with conveyance and distribution facilities having the responsiveness and flexibility to supply the drip and micro-spray systems now prevalent on farms in the BVGSA, and Separate groundwater recharge from irrigation delivery. p.241

Using pipelines instead of unlined canals extends the area that can be served with surface water and prolongs the season of delivery. In addition, as described under the water measurement project, converting distribution facilities from canals to pipelines enables more accurate measurement of deliveries at turnouts by replacing gates with magnetic flow meters, an improvement which also supports volumetric billingp.242

Reduce agricultural demand by replacing 1,160 acres of irrigated farmland with spreading grounds. p.245

This adaptive management action will fallow land planted in annual crops to reduce demand for irrigation water p.252
","p.229 Palms Water Banking Project
Completion of the Palms Groundwater Banking Project, described in Section 7 – Projects,
Management Actions and Adaptive Management Action, will remove approximately 1,160 acres
from agricultural production. Therefore, although water will evaporate from the project area
during periods when the water bank is recharging, the retirement from irrigated land use is
expected to lower evapotranspiration by 3.0 AF/ac.",,Inadequate,,51
Groundwater Sustainability Plan for South Yuba and North Yuba,N,NA,NA,N,NA,N,NA,NA,NA,M,"p. 6-6: In extreme cases, halting or reducing groundwater pumping in the depths and areas influenced by the representative well monitoring site may be considered until conditions recover.",6-6,N,NA,NA,N,,Approved,02/20/2023,52
Groundwater Sustainability Plan for Kern River,Y,Acreage,,N,,M,Extraction,NA,,M,"p. 350 If sustainable management cannot readily be achieved through increased and optimized supplies, then pumping allocations may a helpful management tool. If needed, KDWD will explore options and opportunities for equitable allocation scenarios and engage landowners to develop workable allocations",350,M,,"Agricultural demand could also be achieved if needed by growing different crop types, fallowing portions of fields, district purchase and retirement of land (and possibly used for recharge if suitable), and other strategies.","-it is assumed that about 10,000 acres of agricultural lands in the KRGSA Plan Area (about 10 percent of the total agricultural lands) will be urbanized. p.340
-groundwater banking? The general operation of groundwater banking facilities is to recharge excess available surface water supplies during wet years by recharging to the groundwater and recovering this water by pumping in dry years when surface water supplies are limited. Groundwater banking programs store water in the Kern County Subbasin for use by local agencies and for export to out-of-basin entities. The KRGSA Banking MA was created to acknowledge the specialized groundwater banking activities that
occur in the western KRGSA Plan Area and along the Kern River channel (",,Inadequate,,54
Groundwater Sustainability Plan for Lower Tule River Irrigation District,Y,Acreage,,Y,,Y,Extraction,NA,,Y,Establish a cap for groundwater consumptive use to help facilitate a gradual reduced volume of local groundwater use during the Plan Implementation Period; p.246,246,Y,"254, 268","p.254 Existing Water Supply Optimization Projects , p.268 direct payment for land idling, Agricultural Land Retirement Projects p.268","stated that they have no formal plan but ???Incorporation of groundwater recharge activities through policies and monitoring that validate such activities and credit respective entities for groundwater banking; A water supply augmentation program is currently operated by the Lower Tule River Irrigation District. Under this program, partners of the Lower Tule River Irrigation District participate in the construction of groundwater banking facilities and the purchase of water supplies during wet years to recharge these facilities.",,Inadequate,,56
Groundwater Sustainability Plan for Tri-County Water Authority,N,NA,,N,,Y,Extraction,NA,,N,NA,NA,N,NA,NA,,,Inadequate,,57
Groundwater Sustainability Plan for East Kaweah,M,Acreage,,M,,M ,Acreage,Tiered,,M,"p.263 policies related to the prohibition of new groundwater exports, requiring new developments to prove sustainable water supply, pumping restrictions during droughts, and moratorium on new production wells. Particularily if groundwater exports become a concern. there are no specific numerical values given.",263,M,,Project examples include installing higher efficiency irrigation systems and/or soil moisture sensors. No information about how they are structured.,"The EKGSA may adopt a policy to define a groundwater banking program. The banking program would consider using surface water supplies when available in lieu of groundwater pumping. Though not feasible for all users, growers capable of surface water recharge on-farm may be able to percolate surface water, or other transferred water, for recharge credits. The EKGSA may consider a study of water marketing strategies in an effort to acquire more surface water. The study may focus on the development of a groundwater banking/trading program and coordination with
other agencies that could potentially market water into the EKGSA.","In regards to Fees: An alternative approach independent of groundwater allocation per acre and quantification method of extraction, the EKGSA may adopt a policy to levy flat rate well head fees. ",Inadequate,,58
